Season,Home_Team,Away_Team,Home_Goals,Away_Goals,Outcome,Home_Attack,Home_Defense,Away_Defense,Away_Attack,Home_Exp_Goals,Away_Exp_Goals,Power_Diff
2023-24,Enugu Rangers,Gombe United,4,1,Home Win,1.6,0.56,2.0,0.34,1.8,0.45,1.35
2023-24,Enugu Rangers,Heartland,2,0,Home Win,1.6,0.56,1.6,0.51,1.6,0.54,1.06
2023-24,Enugu Rangers,Kano Pillars,4,1,Home Win,1.6,0.56,1.73,0.67,1.67,0.62,1.05
2023-24,Enugu Rangers,Katsina United,0,0,Draw,1.6,0.56,1.46,0.28,1.53,0.42,1.11
2023-24,Enugu Rangers,Kwara United,0,0,Draw,1.6,0.56,1.59,0.59,1.6,0.58,1.02
2023-24,Enugu Rangers,Lobi Stars,2,1,Home Win,1.6,0.56,1.64,0.58,1.62,0.57,1.05
2023-24,Enugu Rangers,Niger Tornadoes,2,1,Home Win,1.6,0.56,1.49,0.63,1.55,0.6,0.95
2023-24,Enugu Rangers,Plateau United,2,0,Home Win,1.6,0.56,1.55,0.81,1.58,0.69,0.89
2023-24,Enugu Rangers,Remo Stars,1,0,Home Win,1.6,0.56,1.38,0.75,1.49,0.66,0.84
2023-24,Enugu Rangers,Rivers United,1,0,Home Win,1.6,0.56,1.15,0.7,1.38,0.63,0.75
2023-24,Enugu Rangers,Shooting Stars,2,0,Home Win,1.6,0.56,1.52,0.64,1.56,0.6,0.96
2023-24,Enugu Rangers,Sporting Lagos,2,0,Home Win,1.6,0.56,1.63,0.42,1.62,0.49,1.13
2023-24,Enugu Rangers,Sunshine Stars,2,0,Home Win,1.6,0.56,1.42,0.45,1.51,0.51,1.01
2023-24,Enyimba,Abia Warriors,2,1,Home Win,1.55,0.57,1.72,0.8,1.64,0.68,0.95
2023-24,Enyimba,Akwa United,3,2,Home Win,1.55,0.57,1.35,0.56,1.45,0.56,0.89
2023-24,Enyimba,Bayelsa United,1,1,Draw,1.55,0.57,1.37,0.61,1.46,0.59,0.87
2023-24,Enyimba,Bendel Insurance,2,1,Home Win,1.55,0.57,1.11,0.61,1.33,0.59,0.74
2023-24,Enyimba,Doma United,0,0,Draw,1.55,0.57,1.64,0.46,1.6,0.52,1.08
2023-24,Enyimba,Enugu Rangers,1,1,Draw,1.55,0.57,1.12,0.68,1.34,0.62,0.72
2023-24,Enyimba,Gombe United,4,0,Home Win,1.55,0.57,2.0,0.34,1.78,0.45,1.32
2023-24,Enyimba,Heartland,1,0,Home Win,1.55,0.57,1.6,0.51,1.58,0.54,1.04
2023-24,Enyimba,Kano Pillars,5,0,Home Win,1.55,0.57,1.73,0.67,1.64,0.62,1.02
2023-24,Enyimba,Katsina United,1,0,Home Win,1.55,0.57,1.46,0.28,1.51,0.42,1.09
2023-24,Enyimba,Kwara United,1,0,Home Win,1.55,0.57,1.59,0.59,1.57,0.58,0.99
2023-24,Enyimba,Lobi Stars,1,0,Home Win,1.55,0.57,1.64,0.58,1.6,0.57,1.02
2023-24,Enyimba,Niger Tornadoes,3,1,Home Win,1.55,0.57,1.49,0.63,1.52,0.6,0.92
2023-24,Enyimba,Plateau United,2,0,Home Win,1.55,0.57,1.55,0.81,1.55,0.69,0.86
2023-24,Enyimba,Remo Stars,0,1,Away Win,1.55,0.57,1.38,0.75,1.47,0.66,0.81
2023-24,Enyimba,Rivers United,4,1,Home Win,1.55,0.57,1.15,0.7,1.35,0.64,0.72
2023-24,Enyimba,Shooting Stars,1,0,Home Win,1.55,0.57,1.52,0.64,1.54,0.61,0.93
2023-24,Enyimba,Sporting Lagos,2,0,Home Win,1.55,0.57,1.63,0.42,1.59,0.49,1.1
2023-24,Enyimba,Sunshine Stars,1,0,Home Win,1.55,0.57,1.42,0.45,1.49,0.51,0.98
2023-24,Gombe United,Abia Warriors,1,3,Away Win,1.28,0.87,1.72,0.8,1.5,0.83,0.66
2023-24,Gombe United,Akwa United,1,1,Draw,1.28,0.87,1.35,0.56,1.31,0.72,0.6
2023-24,Gombe United,Bayelsa United,1,1,Draw,1.28,0.87,1.37,0.61,1.32,0.74,0.58
2023-24,Gombe United,Bendel Insurance,1,0,Home Win,1.28,0.87,1.11,0.61,1.19,0.74,0.45
2023-24,Gombe United,Doma United,0,3,Away Win,1.28,0.87,1.64,0.46,1.46,0.67,0.79
2023-24,Gombe United,Enugu Rangers,1,2,Away Win,1.28,0.87,1.12,0.68,1.2,0.77,0.43
2023-24,Gombe United,Enyimba,2,0,Home Win,1.28,0.87,1.19,0.66,1.23,0.76,0.47
2023-24,Gombe United,Heartland,2,0,Home Win,1.28,0.87,1.6,0.51,1.44,0.69,0.75
2023-24,Gombe United,Kano Pillars,2,5,Away Win,1.28,0.87,1.73,0.67,1.51,0.77,0.73
2023-24,Gombe United,Katsina United,1,0,Home Win,1.28,0.87,1.46,0.28,1.37,0.57,0.79
2023-24,Gombe United,Kwara United,1,2,Away Win,1.28,0.87,1.59,0.59,1.44,0.73,0.7
2023-24,Gombe United,Lobi Stars,3,2,Home Win,1.28,0.87,1.64,0.58,1.46,0.72,0.73
2023-24,Gombe United,Niger Tornadoes,1,0,Home Win,1.28,0.87,1.49,0.63,1.38,0.75,0.63
2023-24,Gombe United,Plateau United,1,0,Home Win,1.28,0.87,1.55,0.81,1.42,0.84,0.57
2023-24,Gombe United,Remo Stars,0,0,Draw,1.28,0.87,1.38,0.75,1.33,0.81,0.52
2023-24,Gombe United,Rivers United,1,1,Draw,1.28,0.87,1.15,0.7,1.22,0.79,0.43
2023-24,Gombe United,Shooting Stars,1,1,Draw,1.28,0.87,1.52,0.64,1.4,0.76,0.64
2023-24,Gombe United,Sporting Lagos,2,0,Home Win,1.28,0.87,1.63,0.42,1.45,0.65,0.81
2023-24,Gombe United,Sunshine Stars,0,2,Away Win,1.28,0.87,1.42,0.45,1.35,0.66,0.69
2023-24,Heartland,Abia Warriors,2,0,Home Win,1.26,0.72,1.72,0.8,1.49,0.76,0.73
2023-24,Heartland,Akwa United,1,0,Home Win,1.26,0.72,1.35,0.56,1.31,0.64,0.67
2023-24,Heartland,Bayelsa United,2,2,Draw,1.26,0.72,1.37,0.61,1.32,0.67,0.65
2023-24,Heartland,Bendel Insurance,1,0,Home Win,1.26,0.72,1.11,0.61,1.19,0.67,0.52
2023-24,Heartland,Doma United,3,1,Home Win,1.26,0.72,1.64,0.46,1.45,0.59,0.86
2023-24,Heartland,Enugu Rangers,1,2,Away Win,1.26,0.72,1.12,0.68,1.19,0.7,0.49
2023-24,Heartland,Enyimba,0,1,Away Win,1.26,0.72,1.19,0.66,1.23,0.69,0.54
2023-24,Heartland,Gombe United,3,0,Home Win,1.26,0.72,2.0,0.34,1.63,0.53,1.1
2023-24,Heartland,Kano Pillars,1,1,Draw,1.26,0.72,1.73,0.67,1.5,0.7,0.8
2023-24,Heartland,Katsina United,1,1,Draw,1.26,0.72,1.46,0.28,1.36,0.5,0.86
2023-24,Heartland,Kwara United,1,1,Draw,1.26,0.72,1.59,0.59,1.43,0.66,0.77
2023-24,Heartland,Lobi Stars,2,2,Draw,1.26,0.72,1.64,0.58,1.45,0.65,0.8
2023-24,Heartland,Niger Tornadoes,1,0,Home Win,1.26,0.72,1.49,0.63,1.38,0.67,0.7
2023-24,Heartland,Plateau United,1,5,Away Win,1.26,0.72,1.55,0.81,1.41,0.77,0.64
2023-24,Heartland,Remo Stars,3,1,Home Win,1.26,0.72,1.38,0.75,1.32,0.74,0.59
2023-24,Heartland,Rivers United,1,1,Draw,1.26,0.72,1.15,0.7,1.21,0.71,0.5
2023-24,Heartland,Shooting Stars,1,0,Home Win,1.26,0.72,1.52,0.64,1.39,0.68,0.71
2023-24,Heartland,Sporting Lagos,3,1,Home Win,1.26,0.72,1.63,0.42,1.45,0.57,0.88
2023-24,Heartland,Sunshine Stars,1,1,Draw,1.26,0.72,1.42,0.45,1.34,0.59,0.76
2023-24,Kano Pillars,Abia Warriors,0,1,Away Win,1.44,0.58,1.72,0.8,1.58,0.69,0.89
2023-24,Kano Pillars,Akwa United,1,0,Home Win,1.44,0.58,1.35,0.56,1.39,0.57,0.82
2023-24,Kano Pillars,Bayelsa United,3,0,Home Win,1.44,0.58,1.37,0.61,1.4,0.59,0.81
